word,tf,df,tfidf
feature-curve,34,2,51.13863149039332
clique,28,2,42.114167109735675
hlda,26,2,39.106012316183126
ldabased,24,2,36.09785752263058
play,21,2,31.585625332301756
corruption,19,2,28.57747053874921
index,16,2,24.065238348420387
level2,16,2,24.065238348420387
baye,15,2,22.561160951644112
frequency,14,2,21.057083554867837
local-dependence,14,2,21.057083554867837
ity,13,2,19.553006158091563
respondent,13,2,19.553006158091563
wdbc,13,2,19.553006158091563
domain-expert,12,2,18.04892876131529
fair,12,2,18.04892876131529
lfj,12,2,18.04892876131529
message,12,2,18.04892876131529
regression,12,2,18.04892876131529
toplevel,12,2,18.04892876131529
accuracy,11,2,16.544851364539017
appendix,11,2,16.544851364539017
cvs-lfj,11,2,16.544851364539017
occur-high,11,2,16.544851364539017
pattern-word,11,2,16.544851364539017
pem,11,2,16.544851364539017
word-topic,11,2,16.544851364539017
construction-phase,10,2,15.040773967762743
facet-identify,10,2,15.040773967762743
identify-facet,10,2,15.040773967762743
pemltm2l,10,2,15.040773967762743
risk,10,2,15.040773967762743
subtree,10,2,15.040773967762743
thematically,10,2,15.040773967762743
wine,10,2,15.040773967762743
ability,9,2,13.536696570986468
corex,9,2,13.536696570986468
lda-topic,9,2,13.536696570986468
news5k,9,2,13.536696570986468
nips1k-nips5k,9,2,13.536696570986468
orbit,9,2,13.536696570986468
update,9,2,13.536696570986468
world-development,9,2,13.536696570986468
adaboost,8,2,12.032619174210193
continuous-manifest,8,2,12.032619174210193
earth,8,2,12.032619174210193
eigenvector,8,2,12.032619174210193
medicine,8,2,12.032619174210193
moment,8,2,12.032619174210193
nips10k-news1k,8,2,12.032619174210193
oneisland,8,2,12.032619174210193
pemlcm,8,2,12.032619174210193
restricted-version,8,2,12.032619174210193
soft-cluster,8,2,12.032619174210193
topic-word,8,2,12.032619174210193
vapnik,8,2,12.032619174210193
weak,8,2,12.032619174210193
bayesian-networks,7,2,10.528541777433919
case-pltm,7,2,10.528541777433919
